file,rows_in,rows_out,bad_tradeDate_rows,duplicate_tradeDate_rows,placeholder_cells,duplicate_column_groups,bad_close_rows,status
300567.XSHE.csv,735,735,0,0,0,1,0,ok
300573.XSHE.csv,735,735,0,0,0,1,0,ok
300595.XSHE.csv,735,735,0,0,0,1,0,ok
300601.XSHE.csv,735,735,0,0,0,1,0,ok
300604.XSHE.csv,735,735,0,0,0,1,0,ok
300623.XSHE.csv,735,735,0,0,0,1,0,ok
300627.XSHE.csv,735,735,0,0,0,1,0,ok
300676.XSHE.csv,735,735,0,0,0,1,0,ok
300677.XSHE.csv,735,735,0,0,0,1,0,ok
300679.XSHE.csv,735,735,0,0,0,1,0,ok
300699.XSHE.csv,735,735,0,0,0,1,0,ok
300724.XSHE.csv,735,735,0,0,0,1,0,ok
300735.XSHE.csv,735,735,0,0,0,1,0,ok
300748.XSHE.csv,735,735,0,0,0,1,0,ok
300751.XSHE.csv,735,735,0,0,0,1,0,ok
300757.XSHE.csv,735,735,0,0,0,1,0,ok
300763.XSHE.csv,735,735,0,0,0,1,0,ok
300765.XSHE.csv,735,735,0,0,0,1,0,ok
300803.XSHE.csv,735,735,0,0,0,1,0,ok
300857.XSHE.csv,735,735,0,0,0,1,0,ok
300888.XSHE.csv,735,735,0,0,0,1,0,ok
300919.XSHE.csv,735,735,0,0,0,1,0,ok
300957.XSHE.csv,735,735,0,0,0,1,0,ok
301165.XSHE.csv,735,735,0,0,0,1,0,ok
301267.XSHE.csv,735,735,0,0,0,1,0,ok
301301.XSHE.csv,735,735,0,0,0,1,0,ok
301308.XSHE.csv,735,735,0,0,0,1,0,ok
301358.XSHE.csv,735,735,0,0,0,1,0,ok
301498.XSHE.csv,735,735,0,0,0,1,0,ok
301536.XSHE.csv,735,735,0,0,0,1,0,ok
600004.XSHG.csv,735,735,0,0,0,1,0,ok
600007.XSHG.csv,735,735,0,0,0,1,0,ok
600008.XSHG.csv,735,735,0,0,0,1,0,ok
600021.XSHG.csv,735,735,0,0,0,1,0,ok
600032.XSHG.csv,735,735,0,0,0,1,0,ok
600038.XSHG.csv,735,735,0,0,0,1,0,ok
600056.XSHG.csv,735,735,0,0,0,1,0,ok
600060.XSHG.csv,735,735,0,0,0,1,0,ok
600062.XSHG.csv,735,735,0,0,0,1,0,ok
600079.XSHG.csv,735,735,0,0,0,1,0,ok
600095.XSHG.csv,735,735,0,0,0,1,0,ok
600096.XSHG.csv,735,735,0,0,0,1,0,ok
600098.XSHG.csv,735,735,0,0,0,1,0,ok
600109.XSHG.csv,735,735,0,0,0,1,0,ok
600118.XSHG.csv,735,735,0,0,0,1,0,ok
600126.XSHG.csv,735,735,0,0,0,1,0,ok
600131.XSHG.csv,735,735,0,0,0,1,0,ok
600132.XSHG.csv,735,735,0,0,0,1,0,ok
600141.XSHG.csv,735,735,0,0,0,1,0,ok
600143.XSHG.csv,735,735,0,0,0,1,0,ok
600153.XSHG.csv,735,735,0,0,0,1,0,ok
600155.XSHG.csv,735,735,0,0,0,1,0,ok
600157.XSHG.csv,735,735,0,0,0,1,0,ok
600166.XSHG.csv,735,735,0,0,0,1,0,ok
600170.XSHG.csv,735,735,0,0,0,1,0,ok
600171.XSHG.csv,735,735,0,0,0,1,0,ok
600177.XSHG.csv,735,735,0,0,0,1,0,ok
600208.XSHG.csv,735,735,0,0,0,1,0,ok
600258.XSHG.csv,735,735,0,0,0,1,0,ok
600271.XSHG.csv,735,735,0,0,0,1,0,ok
600282.XSHG.csv,735,735,0,0,0,1,0,ok
600295.XSHG.csv,735,735,0,0,0,1,0,ok
600298.XSHG.csv,735,735,0,0,0,1,0,ok
600299.XSHG.csv,735,735,0,0,0,1,0,ok
600312.XSHG.csv,735,735,0,0,0,1,0,ok
600316.XSHG.csv,735,735,0,0,0,1,0,ok
600325.XSHG.csv,735,735,0,0,0,1,0,ok
600329.XSHG.csv,735,735,0,0,0,1,0,ok
600339.XSHG.csv,735,735,0,0,0,1,0,ok
600348.XSHG.csv,735,735,0,0,0,1,0,ok
600352.XSHG.csv,735,735,0,0,0,1,0,ok
600361.XSHG.csv,735,735,0,0,0,1,0,ok
600363.XSHG.csv,735,735,0,0,0,1,0,ok
600369.XSHG.csv,735,735,0,0,0,1,0,ok
600373.XSHG.csv,735,735,0,0,0,1,0,ok
600378.XSHG.csv,735,735,0,0,0,1,0,ok
600380.XSHG.csv,735,735,0,0,0,1,0,ok
600390.XSHG.csv,735,735,0,0,0,1,0,ok
600392.XSHG.csv,735,735,0,0,0,1,0,ok
600398.XSHG.csv,735,735,0,0,0,1,0,ok
600435.XSHG.csv,735,735,0,0,0,1,0,ok
600483.XSHG.csv,735,735,0,0,0,1,0,ok
600486.XSHG.csv,735,735,0,0,0,1,0,ok
600487.XSHG.csv,735,735,0,0,0,1,0,ok
600497.XSHG.csv,735,735,0,0,0,1,0,ok
600498.XSHG.csv,735,735,0,0,0,1,0,ok
600499.XSHG.csv,735,735,0,0,0,1,0,ok
600511.XSHG.csv,735,735,0,0,0,1,0,ok
600516.XSHG.csv,735,735,0,0,0,1,0,ok
600517.XSHG.csv,735,735,0,0,0,1,0,ok
600521.XSHG.csv,735,735,0,0,0,1,0,ok
600528.XSHG.csv,735,735,0,0,0,1,0,ok
600529.XSHG.csv,735,735,0,0,0,1,0,ok
600535.XSHG.csv,735,735,0,0,0,1,0,ok
600536.XSHG.csv,735,735,0,0,0,1,0,ok
600546.XSHG.csv,735,735,0,0,0,1,0,ok
600549.XSHG.csv,735,735,0,0,0,1,0,ok
600562.XSHG.csv,735,735,0,0,0,1,0,ok
600563.XSHG.csv,735,735,0,0,0,1,0,ok
600566.XSHG.csv,735,735,0,0,0,1,0,ok
600578.XSHG.csv,735,735,0,0,0,1,0,ok
600580.XSHG.csv,735,735,0,0,0,1,0,ok
600582.XSHG.csv,735,735,0,0,0,1,0,ok
600583.XSHG.csv,735,735,0,0,0,1,0,ok
600598.XSHG.csv,735,735,0,0,0,1,0,ok
600606.XSHG.csv,735,735,0,0,0,1,0,ok
600612.XSHG.csv,735,735,0,0,0,1,0,ok
600637.XSHG.csv,735,735,0,0,0,1,0,ok
600655.XSHG.csv,735,735,0,0,0,1,0,ok
600663.XSHG.csv,735,735,0,0,0,1,0,ok
600673.XSHG.csv,735,735,0,0,0,1,0,ok
600685.XSHG.csv,735,735,0,0,0,1,0,ok
600688.XSHG.csv,735,735,0,0,0,1,0,ok
600699.XSHG.csv,735,735,0,0,0,1,0,ok
600704.XSHG.csv,735,735,0,0,0,1,0,ok
600707.XSHG.csv,735,735,0,0,0,1,0,ok
600720.XSHG.csv,735,735,0,0,0,1,0,ok
600737.XSHG.csv,735,735,0,0,0,1,0,ok
600739.XSHG.csv,735,735,0,0,0,1,0,ok
600754.XSHG.csv,735,735,0,0,0,1,0,ok
600763.XSHG.csv,735,735,0,0,0,1,0,ok
600764.XSHG.csv,735,735,0,0,0,1,0,ok
600765.XSHG.csv,735,735,0,0,0,1,0,ok
600801.XSHG.csv,735,735,0,0,0,1,0,ok
600808.XSHG.csv,735,735,0,0,0,1,0,ok
600816.XSHG.csv,735,735,0,0,0,1,0,ok
600820.XSHG.csv,735,735,0,0,0,1,0,ok
600839.XSHG.csv,735,735,0,0,0,1,0,ok
600848.XSHG.csv,735,735,0,0,0,1,0,ok
600859.XSHG.csv,735,735,0,0,0,1,0,ok
600862.XSHG.csv,735,735,0,0,0,1,0,ok
600863.XSHG.csv,735,735,0,0,0,1,0,ok
600867.XSHG.csv,735,735,0,0,0,1,0,ok
600871.XSHG.csv,735,735,0,0,0,1,0,ok
600872.XSHG.csv,735,735,0,0,0,1,0,ok
600873.XSHG.csv,735,735,0,0,0,1,0,ok
600879.XSHG.csv,735,735,0,0,0,1,0,ok
600884.XSHG.csv,735,735,0,0,0,1,0,ok
600885.XSHG.csv,735,735,0,0,0,1,0,ok
600895.XSHG.csv,735,735,0,0,0,1,0,ok
600901.XSHG.csv,735,735,0,0,0,1,0,ok
600906.XSHG.csv,735,735,0,0,0,1,0,ok
600909.XSHG.csv,735,735,0,0,0,1,0,ok
600925.XSHG.csv,735,735,0,0,0,1,0,ok
600927.XSHG.csv,735,735,0,0,0,1,0,ok
600928.XSHG.csv,735,735,0,0,0,1,0,ok
600956.XSHG.csv,735,735,0,0,0,1,0,ok
600959.XSHG.csv,735,735,0,0,0,1,0,ok
600968.XSHG.csv,735,735,0,0,0,1,0,ok
600970.XSHG.csv,735,735,0,0,0,1,0,ok
600977.XSHG.csv,735,735,0,0,0,1,0,ok
600985.XSHG.csv,735,735,0,0,0,1,0,ok
600988.XSHG.csv,735,735,0,0,0,1,0,ok
600995.XSHG.csv,735,735,0,0,0,1,0,ok
600998.XSHG.csv,735,735,0,0,0,1,0,ok
601000.XSHG.csv,735,735,0,0,0,1,0,ok
601001.XSHG.csv,735,735,0,0,0,1,0,ok
601016.XSHG.csv,735,735,0,0,0,1,0,ok
601019.XSHG.csv,735,735,0,0,0,1,0,ok
601061.XSHG.csv,735,735,0,0,0,1,0,ok
601098.XSHG.csv,735,735,0,0,0,1,0,ok
601099.XSHG.csv,735,735,0,0,0,1,0,ok
601106.XSHG.csv,735,735,0,0,0,1,0,ok
601108.XSHG.csv,735,735,0,0,0,1,0,ok
601118.XSHG.csv,735,735,0,0,0,1,0,ok
601128.XSHG.csv,735,735,0,0,0,1,0,ok
601139.XSHG.csv,735,735,0,0,0,1,0,ok
601155.XSHG.csv,735,735,0,0,0,1,0,ok
601156.XSHG.csv,735,735,0,0,0,1,0,ok
601158.XSHG.csv,735,735,0,0,0,1,0,ok
601162.XSHG.csv,735,735,0,0,0,1,0,ok
601168.XSHG.csv,735,735,0,0,0,1,0,ok
601179.XSHG.csv,735,735,0,0,0,1,0,ok
601198.XSHG.csv,735,735,0,0,0,1,0,ok
601212.XSHG.csv,735,735,0,0,0,1,0,ok
601216.XSHG.csv,735,735,0,0,0,1,0,ok
601228.XSHG.csv,735,735,0,0,0,1,0,ok
601231.XSHG.csv,735,735,0,0,0,1,0,ok
601233.XSHG.csv,735,735,0,0,0,1,0,ok
601333.XSHG.csv,735,735,0,0,0,1,0,ok
601399.XSHG.csv,735,735,0,0,0,1,0,ok
601456.XSHG.csv,735,735,0,0,0,1,0,ok
601555.XSHG.csv,735,735,0,0,0,1,0,ok
601568.XSHG.csv,735,735,0,0,0,1,0,ok
601577.XSHG.csv,735,735,0,0,0,1,0,ok
601598.XSHG.csv,735,735,0,0,0,1,0,ok
601608.XSHG.csv,735,735,0,0,0,1,0,ok
601611.XSHG.csv,735,735,0,0,0,1,0,ok
601615.XSHG.csv,735,735,0,0,0,1,0,ok
601636.XSHG.csv,735,735,0,0,0,1,0,ok
601665.XSHG.csv,735,735,0,0,0,1,0,ok
601666.XSHG.csv,735,735,0,0,0,1,0,ok
601696.XSHG.csv,735,735,0,0,0,1,0,ok
601717.XSHG.csv,735,735,0,0,0,1,0,ok
601858.XSHG.csv,735,735,0,0,0,1,0,ok
601866.XSHG.csv,735,735,0,0,0,1,0,ok
601880.XSHG.csv,735,735,0,0,0,1,0,ok
601918.XSHG.csv,735,735,0,0,0,1,0,ok
601921.XSHG.csv,735,735,0,0,0,1,0,ok
601928.XSHG.csv,735,735,0,0,0,1,0,ok
601933.XSHG.csv,735,735,0,0,0,1,0,ok
601958.XSHG.csv,735,735,0,0,0,1,0,ok
601965.XSHG.csv,735,735,0,0,0,1,0,ok
601966.XSHG.csv,735,735,0,0,0,1,0,ok
601990.XSHG.csv,735,735,0,0,0,1,0,ok
601991.XSHG.csv,735,735,0,0,0,1,0,ok
601997.XSHG.csv,735,735,0,0,0,1,0,ok
603000.XSHG.csv,735,735,0,0,0,1,0,ok
603077.XSHG.csv,735,735,0,0,0,1,0,ok
603087.XSHG.csv,735,735,0,0,0,1,0,ok
603129.XSHG.csv,735,735,0,0,0,1,0,ok
603156.XSHG.csv,735,735,0,0,0,1,0,ok
603160.XSHG.csv,735,735,0,0,0,1,0,ok
