tradeDate,mvel1,beta,betasq,chmom,dolvol,idiovol,indmom,mom1m,mom6m,mom12m,mom36m,pricedelay,turn,absacc,acc,age,agr,bm,bm_ia,cashdebt,cashpr,cfp,cfp_ia,chatoia,chcsho,chempia,chinv,chpmia,convind,currat,depr,divi,divo,dy,egr,ep,gma,grcapx,grltnoa,herf,hire,invest,lev,lgr,mve_ia,operprof,orgcap,pchcapx_ia,pchcurrat,pchdepr,pchgm_pchsale,pchquick,pchsale_pchinvt,pchsale_pchrect,pchsale_pchxsga,pchsaleinv,pctacc,ps,quick,rd,rd_mve,rd_sale,realestate,roic,salecash,saleinv,salerec,secured,securedind,sgr,sin,sp,tang,tb,aeavol,cash,chtx,cinvest,ear,nincr,roaq,roavol,roeq,rsup,stdacc,stdcf,ms,baspread,ill,maxret,retvol,std_dolvol,std_turn,zerotrade,sic2,close
2007-06-29,1494887.2038,1.708088518,2.9175663852,-0.309474061,15.81463179,0.0762660908,0.0768245838,-0.0121831139999999,-0.242827886,-0.199349957,-0.158869938,-0.268797518,4.184013917200001,0.3923928665,-0.392392867,4.0,-0.44833653,0.1526978522,-0.4139826689999999,1.2740842698,5.262590268399999,0.109993447,-0.016073852,-0.243943593,0.0383827657,-0.826268096,0.0,0.1086714436,0.0,1.7711775095,1.1003342074,0.0,0.0,0.0,0.4477070443,0.0283640918,1.2845472273,1.24165788,0.5297968771,0.1558479021,-0.444135631,0.5428745040999999,0.0934259611999999,0.4493665585,643.87158867,0.5219091986,0.0118298932,-1.48704872,-0.102716592,-0.240454531,-0.330449714,-0.102716592,,,0.3716826471,,-2.877911819,4.0,1.7711775095,0.0,0.0238834198,0.0518723624,0.0075998441,0.0376250615,3.2141046661000003,,,,0.0,0.3476397986999999,0.0,0.4604266825,0.724693842,-3.0797898010000004,5.1259021731,0.6697148897,0.032011987,-0.001705647,0.2281617718,0.0,0.0249282248,0.0435808644,0.0348870218,0.0535957623,0.0572566776,0.073990211,8.0,0.0252439115,4.073569e-10,0.025524132,0.0128093367,0.4204981507,7.7050732067,5.8433257e-09,78.0,0.277
2007-07-31,1311500.7787,1.6754931761,2.8072773832,-0.200579336,15.442297142,0.072152024,0.0881716266,-0.114607878,-0.15313612,-0.195152472,-0.2441667019999999,-0.4807985489999999,5.2774259722000005,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.172210293,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3304812518,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,4.0348487128,0.660272447,0.0571954063999999,0.0379149989,0.0610816674,1.0,0.0269890337,0.0422289212,0.0383976352,0.0474737643,0.0555823212,0.0761229396,8.0,0.0426811361,5.711746e-10,0.0645491928,0.0375139416,0.7156075020999999,28.556062416,2.8446059e-09,78.0,0.246142857
2007-08-31,1159096.5292,1.3809446218,1.9070080485,-0.34709445,16.086648704,0.0730084962,0.1457519751,-0.111397624,-0.149934249,-0.06283235,0.0092683096,-1.5986154890000002,5.8355531772,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.1733652239999999,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3187300078,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,4.0348487128,0.660272447,0.0617288242,0.0379149989,0.0610816674,1.0,0.0269890337,0.0422289212,0.0383976352,0.0474737643,0.0555823212,0.0761229396,8.0,0.0341508215,5.434556e-10,0.0682634339,0.0379791651,0.7750363709999999,33.483711499,3.1615157e-09,78.0,0.250285714
2007-09-28,1178605.4708,1.3032739026,1.6985228651,-0.347744807,15.853912022,0.0720013791999999,0.0212970627,0.0168311615,-0.235241946,-0.139360691,0.4351255150999999,-0.247731811,6.0956594129,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.118494469,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3255095273,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,4.0348487128,0.660272447,0.0755145756,0.0379149989,0.0610816674,1.0,0.0269890337,0.0422289212,0.0383976352,0.0474737643,0.0555823212,0.0761229396,8.0,0.0413495325999999,1.1298612e-09,0.0357348062,0.0214249877,0.5173863675,8.818482701,5.0093166e-09,78.0,0.296
2007-10-31,1362583.737,1.2920960144,1.6695121106,-0.1232203019999999,15.314125086,0.0650938658,-0.0572639109999999,0.1843550353999999,-0.244501942,-0.2309043139999999,0.4773022594,-0.265419325,4.7264038595,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.110811351,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3304812518,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.7633598277,0.6206635632,0.0097036481,-0.372693679,-0.125918146,0.0,0.0160583726,0.0407385031,0.0236014978,0.050918393,0.0607761604,0.0796001095,8.0,0.0378948988,1.0932253e-09,0.0891653299,0.0313815097,0.5493771509,8.965483429099999,6.6802587e-09,78.0,0.378142857
2007-11-30,1741117.1448,1.2456297137,1.5515933836000002,0.3924373027,15.385217814,0.0648749312,-0.060045142,0.2756687105,-0.064055003,-0.249822821,1.9208024423,-0.526434981,4.1405455808,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.2860831669999999,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3304812518,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.7633598277,0.6206635632,0.0097036481,-0.372693679,-0.125918146,0.0,0.0160583726,0.0407385031,0.0236014978,0.050918393,0.0607761604,0.0796001095,8.0,0.0384587292,6.094830000000001e-10,0.1295088828,0.0331645988,0.6204310113,16.099396403,3.7851186e-09,78.0,0.33
2007-12-31,1519448.7251,1.1996172332,1.4390815063,0.3068519288,15.982947799000002,0.0640500835,-0.075916139,-0.1273138969999999,0.2086812489999999,-0.095970002,1.5729350132,-0.364695719,4.2104201008,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.24841557,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3304812518,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.7633598277,0.6206635632,0.0097036481,-0.372693679,-0.125918146,0.0,0.0160583726,0.0407385031,0.0236014978,0.050918393,0.0607761604,0.0796001095,8.0,0.0427130399,7.640282e-10,0.0405216999,0.0279584685,0.2610195468,4.5996320331,5.3047593e-09,78.0,0.380285714
2008-01-31,1727984.1145,1.2517127107,1.5667847102,0.6230660968999999,15.601806395,0.064104014,-0.154212615,0.1523809731,0.1913357966,-0.106728548,1.0973236656,-0.7314784209999999,4.2828760546,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.24841557,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3635310584,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.041047885,0.6172660461,0.0137562608,0.0650460104,-0.2052496439999999,1.0,0.0407832222,0.0408725579,0.0589860344,0.0490598245,0.0641764057,0.0789538928,8.0,0.0426899308,7.077397e-10,0.0952954888,0.0300776466,0.5604105934,12.539566404,5.8517464e-09,78.0,0.359285714
2008-02-29,1632561.9252,1.1869077258,1.4087499496,0.7042929553,15.693484632,0.0654997228,-0.1880328919999999,-0.0552216809999999,0.5449797814,0.1670320667,0.9834782098,-0.441164112,5.6058342866,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.24841557,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3340960409,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.041047885,0.6172660461,0.0137562608,0.0650460104,-0.2052496439999999,1.0,0.0407832222,0.0408725579,0.0589860344,0.0490598245,0.0641764057,0.0789538928,8.0,0.079194044,6.070755e-10,0.0963382348,0.0452250995,0.4395125962,18.984362959,2.5756707e-09,78.0,0.451142857
2008-03-31,1932380.1953,1.2432767747,1.5457371384,0.8730671137,16.396104752,0.0650722884,-0.249114969,0.2556660175,0.4355022315999999,0.1162893416999999,1.1056075793,-0.394640669,6.2277118874,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.24841557,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3255095273,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.041047885,0.6172660461,0.0137562608,0.0650460104,-0.2052496439999999,1.0,0.0407832222,0.0408725579,0.0589860344,0.0490598245,0.0641764057,0.0789538928,8.0,0.0426652971,3.513994e-10,0.1182758734,0.0306464937,0.5890385348,21.94183368,3.6129932e-09,78.0,0.495
2008-04-30,2132707.5939,1.2171821604000002,1.4815324115,0.7643666771,16.29836679,0.0640404084999999,-0.24545173,0.0972134769,0.5219349911,0.3617938394,1.1373271657,-0.075333348,6.8513271085000005,0.408398907,-0.408398907,5.0,-0.6693466339999999,0.2334495377,-0.24841557,1.2385577047,2.910689309,0.139695157,0.1123055038,-0.069626305,0.2530498941,0.1727242439999999,0.0,-0.094900863,0.0,2.2146531091,0.9795836944,0.0,0.0,0.0,0.8307506673999999,0.0276626417,1.3255095273,0.6692613603,0.4442462967,0.1662299698,0.3197969543,0.5697225795,0.1096586299,0.4055436361,884.56745214,0.5312509808,0.0094941366,-0.763483822,0.2503846155,-0.109739852,0.1678530144999999,0.2503846155,,,-0.032871706,,-4.049957214,5.0,2.2146531091,0.0,0.0272664304999999,0.0485411274,0.0246016277,0.2256310325,2.4889743526,,,,0.0,0.4609220288,0.0,0.5617181142000001,0.7987297279000001,-4.88554697,2.0153286097,0.6186844858,0.0034326564,0.0857312509,0.0867365636,0.0,0.0255544668,0.0408469539,0.0352345631,0.0279043412,0.0647038236,0.0795869392,8.0,0.0506189675,4.6212000000000005e-10,0.0623800008999999,0.0330205705,0.3029726983,8.760088893899999,3.6845571e-09,78.0,0.456857143
